geneName	SKG_rep3
Orc6	150
Ube2dnl1	0
Camsap1	11
Dst	513
Usp29	0
Slc30a4	1428
Slc2a12	0
Cdk10	1938
Hnrnpr	6472
Wdr37	2381
Tfpt	1397
Polg	7618
1700010K23Rik	0
Cyba	4173
Slc26a2	48
Epyc	0
Dsg2	0
Htr7	0
Vldlr	0
Smarca2	1436
Ptprk	1
Cpne9	0
Gnas	25434
Rpusd4	2496
Ppp6r2	595
Irak2	1
Msrb2	1250
Knl1	6
Clec4a3	282
6030458C11Rik	280
Smim10l1	1356
Rerg	0
Rit1	2014
Pcgf2	1
Apol9b	0
